route_id,order,location,easting,northing
NorthCoast,1,Carrick-a-Rede Rope Bridge,304938,444596
NorthCoast,2,Giant's Causeway,294440,443907
NorthCoast,3,Old Bushmills Distillery,294464,440523
NorthCoast,4,Dunluce Castle,290470,441310
NorthCoast,5,Mussenden Temple,275842,436258
