route_id,order,location,easting,northing
WestRoute,1,Stairway to Heaven,212093,333532
WestRoute,2,Marble Arch Caves,212260,334421
WestRoute,3,Enniskillen Castle,223183,344217
WestRoute,4,Derry Walls,243270,416613
