route_id,order,location,easting,northing
Belfast,1,Belfast Castle,333454,379446
Belfast,2,Titanic Belfast,335083,375326
Belfast,3,Crumlin Road Gaol,332994,375355
Belfast,4,Belfast Peace Wall,332123,374441
