route_id,order,location,easting,northing
GOT,1,GOT Studio Tour,312459,343917
GOT,2,Inch Abbey,347497,345538
GOT,3,Castle Ward,357097,349462
GOT,4,Tollymore Forest Park,334534,332680
GOT,5,Cushendun Caves,325261,432507
GOT,6,The Dark Hedges,303383,433142
GOT,7,Ballintoy Harbour,303815,445349
GOT,8,Dunluce Castle,290470,441310
GOT,9,Downhill Beach/ Mussenden Temple,275842,436258
